X;Y;Z
8.148670196533203125e+00;5.404624938964843750e+00;7.893848896026611328e+00
7.498974323272705078e+00;4.466720581054687500e+00;4.183638572692871094e+00
7.495669364929199219e+00;5.743605613708496094e+00;7.183990001678466797e+00
7.106046199798583984e+00;5.253736495971679688e+00;7.003121852874755859e+00
8.116335868835449219e+00;4.984785556793212891e+00;5.299040317535400391e+00
7.700159549713134766e+00;5.616634845733642578e+00;7.394064903259277344e+00
8.921160697937011719e+00;2.775810480117797852e+00;5.233875274658203125e+00
7.582634925842285156e+00;4.951396465301513672e+00;7.890062808990478516e+00
7.000967025756835938e+00;5.364073276519775391e+00;4.538659572601318359e+00
7.035781383514404297e+00;5.007048130035400391e+00;4.211077690124511719e+00
5.421106338500976562e+00;3.688033103942871094e+00;2.437364578247070312e+00
5.122173309326171875e+00;5.868415832519531250e+00;1.646719336509704590e+00
5.343410491943359375e+00;5.942286014556884766e+00;1.460758924484252930e+00
4.976569175720214844e+00;5.572644233703613281e+00;1.537804126739501953e+00
9.028115272521972656e+00;2.721705913543701172e+00;5.287588119506835938e+00
9.533789634704589844e+00;2.741641998291015625e+00;5.933028697967529297e+00
6.389188766479492188e+00;2.683985948562622070e+00;5.913594245910644531e+00
7.602571010589599609e+00;5.563522815704345703e+00;7.661834239959716797e+00
7.475769519805908203e+00;5.790468692779541016e+00;7.124772071838378906e+00
9.222768783569335938e+00;4.344926834106445312e+00;8.476615905761718750e+00
2.256153106689453125e+00;4.833162307739257812e+00;3.415000915527343750e+00
8.449648857116699219e+00;5.481866359710693359e+00;8.155758857727050781e+00
7.035177230834960938e+00;5.309936046600341797e+00;4.666975498199462891e+00
8.875138282775878906e+00;4.303746223449707031e+00;8.131475448608398438e+00
3.498598814010620117e+00;4.484272956848144531e+00;3.164099216461181641e+00
2.759463787078857422e+00;4.595721244812011719e+00;3.380992650985717773e+00
3.773950815200805664e+00;5.338037967681884766e+00;3.860617399215698242e+00
7.147674083709716797e+00;5.400266170501708984e+00;5.475135326385498047e+00
5.237174034118652344e+00;2.868512392044067383e+00;6.682894229888916016e+00
6.220222473144531250e+00;2.577715873718261719e+00;6.127497196197509766e+00
5.052431583404541016e+00;2.668086290359497070e+00;6.573692321777343750e+00
4.998989582061767578e+00;2.622996807098388672e+00;6.648958206176757812e+00
9.101058006286621094e+00;2.641151905059814453e+00;5.479559421539306641e+00
6.235977172851562500e+00;3.446573734283447266e+00;4.694736480712890625e+00
6.071913719177246094e+00;3.577622175216674805e+00;4.680245876312255859e+00
6.579962730407714844e+00;3.208075046539306641e+00;6.876654148101806641e+00
4.315774917602539062e+00;5.709926605224609375e+00;2.528909921646118164e+00
8.004240989685058594e+00;5.114399909973144531e+00;8.189397811889648438e+00
2.776388168334960938e+00;4.742312431335449219e+00;3.668234825134277344e+00
9.877908706665039062e+00;3.776150703430175781e+00;7.848256111145019531e+00
7.525182723999023438e+00;3.635042428970336914e+00;7.368573665618896484e+00
6.353132724761962891e+00;2.847319126129150391e+00;6.569866657257080078e+00
6.182423114776611328e+00;2.938727140426635742e+00;6.627893924713134766e+00
2.770558595657348633e+00;4.568284034729003906e+00;3.416078805923461914e+00
6.361596107482910156e+00;3.185374498367309570e+00;5.030933380126953125e+00
7.751965999603271484e+00;6.088678359985351562e+00;5.581610202789306641e+00
7.096076965332031250e+00;5.953206062316894531e+00;5.190892696380615234e+00
4.844817161560058594e+00;2.715433835983276367e+00;6.486941337585449219e+00
5.283297538757324219e+00;2.844960212707519531e+00;6.637832164764404297e+00
5.356383800506591797e+00;2.776328802108764648e+00;6.622294902801513672e+00
8.696694374084472656e+00;5.187468528747558594e+00;8.337786674499511719e+00
9.182398796081542969e+00;4.693132400512695312e+00;8.044961929321289062e+00
8.240875244140625000e+00;5.423197746276855469e+00;8.007813453674316406e+00
8.622130393981933594e+00;5.433032989501953125e+00;8.276848793029785156e+00
4.543792247772216797e+00;5.833605766296386719e+00;2.137406826019287109e+00
8.980661392211914062e+00;4.214232444763183594e+00;8.503380775451660156e+00
8.559041976928710938e+00;5.739464759826660156e+00;7.973555088043212891e+00
7.746809005737304688e+00;3.955042839050292969e+00;4.215682506561279297e+00
6.726301670074462891e+00;5.671925067901611328e+00;5.497810840606689453e+00
4.659999370574951172e+00;5.708438873291015625e+00;4.290575981140136719e+00
7.513339996337890625e+00;4.953963756561279297e+00;4.724767208099365234e+00
7.412862777709960938e+00;4.835716724395751953e+00;4.538236618041992188e+00
8.736011505126953125e+00;4.105808734893798828e+00;8.261931419372558594e+00
8.710767745971679688e+00;4.150656223297119141e+00;8.454207420349121094e+00
1.000322914123535156e+01;3.605928897857666016e+00;7.599527359008789062e+00
4.753924369812011719e+00;5.660711765289306641e+00;1.729993104934692383e+00
7.004844188690185547e+00;5.555985450744628906e+00;5.427794456481933594e+00
8.336964607238769531e+00;2.938858985900878906e+00;4.718138694763183594e+00
7.943150520324707031e+00;3.968065977096557617e+00;4.311343193054199219e+00
8.875248908996582031e+00;4.131521701812744141e+00;8.432418823242187500e+00
8.407607078552246094e+00;4.502605915069580078e+00;8.537915229797363281e+00
2.879264831542968750e+00;4.511254310607910156e+00;3.409957885742187500e+00
6.351760387420654297e+00;3.031809568405151367e+00;6.714560985565185547e+00
